file,result,error
cnl00009511,True,
cnl00013603,True,
cnl00020700,True,
cnl00011898,True,
cnl00006938,True,
cnl00017027,True,
cnl00012338,True,
cnl00006330,True,
cnl00016648,True,
cnl00007910,True,
cnl00007229,True,
cnl00006321,True,
cnl00016310,True,
cnl00031248,True,
cnl00017057,True,
cnl00016315,True,
cnl00016086,True,
cnl00018435,True,
cnl00021730,True,
cnl00021731,True,
cnl00000294,True,
cnl00014717,True,
cnl00007239,True,
cnl00009102,True,
cnl00007683,True,
cnl00014764,True,
cnl00029217,True,
cnl00029873,True,
cnl00012370,True,
cnl00047592,True,
cnl00008147,True,
cnl00033866,True,
cnl00030096,True,
cnl00032130,True,
cnl00009442,True,
cnl00006413,True,
cnl00028382,True,
cnl00031767,True,
cnl00012659,True,
cnl00017076,True,
cnl00023570,True,
cnl00031521,True,
cnl00006409,True,
cnl00008178,True,
cnl00018294,True,
cnl00032242,True,
cnl00008923,True,
cnl00014216,True,
cnl00033411,True,
cnl00043858,True,
cnl00007303,True,
cnl00012806,True,
cnl00028787,True,
cnl00019161,True,
cnl00031272,True,
cnl00009733,True,
cnl00008938,True,
cnl00022342,True,
cnl00033412,True,
cnl00012090,True,
cnl00009466,True,
cnl00001061,True,
cnl00010938,True,
cnl00033303,True,
cnl00017034,True,
cnl00014927,True,
cnl00012048,True,
cnl00021712,True,
cnl00028358,True,
cnl00008154,True,
cnl00007067,True,
cnl00022784,True,
cnl00012946,True,
cnl00018324,True,
cnl00009870,True,
cnl00046045,True,
cnl00009335,True,
cnl00011011,True,
cnl00033706,True,
cnl00033707,True,
cnl00013940,True,
cnl00029563,True,
cnl00008872,True,
cnl00001015,True,
cnl00027416,True,
cnl00020937,True,
cnl00014716,True,
cnl00006255,True,
cnl00017071,True,
cnl00007744,True,
cnl00033414,True,
cnl00012727,True,
cnl00002689,True,
cnl00024270,True,
cnl00027075,True,
cnl00012718,True,
cnl00009233,True,
cnl00010019,True,
cnl00027965,True,
cnl00020816,True,
cnl00019459,True,
cnl00016297,True,
cnl00006404,True,
cnl00006224,True,
cnl00013035,True,
cnl00029470,True,
cnl00023118,True,
cnl00029370,True,
cnl00033382,True,
cnl00033525,True,
cnl00009244,True,
cnl00002801,True,
cnl00015039,True,
cnl00000624,True,
cnl00019671,True,
cnl00011769,True,
cnl00007110,True,
cnl00026818,True,
cnl00029858,True,
cnl00036888,True,
cnl00013620,True,
cnl00006435,True,
cnl00019254,True,
cnl00016144,True,
cnl00015003,True,
cnl00020164,True,
cnl00006743,True,
cnl00011634,True,
cnl00008779,True,
cnl00031504,True,
cnl00011391,True,
cnl00015766,True,
cnl00008748,True,
cnl00011921,True,
cnl00019657,True,
cnl00011840,True,
cnl00021668,True,
cnl00012830,True,
cnl00015300,True,
cnl00001240,True,
cnl00012456,True,
cnl00006780,True,
cnl00006029,True,
cnl00018227,True,
cnl00016188,True,
cnl00027224,True,
cnl00014886,True,
cnl00019175,True,
cnl00029118,True,
cnl00014398,True,
cnl00016067,True,
cnl00016121,True,
cnl00033709,True,
cnl00006429,True,
cnl00011497,True,
cnl00011354,True,
cnl00014401,True,
cnl00007222,True,
cnl00020548,True,
cnl00025334,True,
cnl00006688,True,
cnl00019883,True,
cnl00009029,True,
cnl00033416,True,
cnl00008375,True,
cnl00029143,True,
cnl00014007,True,
cnl00007166,True,
cnl00005160,True,
cnl00009093,True,
cnl00014734,True,
cnl00007275,True,
cnl00016138,True,
cnl00010684,True,
cnl00024462,True,
cnl00017407,True,
cnl00008100,True,
cnl00011844,True,
cnl00027780,True,
cnl00023347,True,
cnl00018008,True,
cnl00006889,True,
cnl00009157,True,
cnl00017250,True,
cnl00018306,True,
cnl00014494,True,
cnl00011977,True,
cnl00009660,True,
cnl00030357,True,
cnl00032019,True,
cnl00004200,True,
cnl00006881,True,
cnl00033417,True,
cnl00023600,True,
cnl00023599,True,
cnl00029132,True,
cnl00033710,True,
cnl00013214,True,
cnl00008896,True,
cnl00004164,True,
cnl00021086,True,
cnl00008224,True,
cnl00033420,True,
cnl00033419,True,
cnl00033422,True,
cnl00033421,True,
cnl00008940,True,
cnl00021978,True,
cnl00036613,True,
cnl00006608,True,
cnl00033424,True,
cnl00008435,True,
cnl00027221,True,
cnl00013153,True,
cnl00007228,True,
cnl00016564,True,
cnl00016607,True,
cnl00010515,True,
cnl00011148,True,
cnl00033423,True,
cnl00011242,True,
cnl00012240,True,
cnl00010037,True,
cnl00033714,True,
cnl00033715,True,
cnl00016035,True,
cnl00033425,True,
cnl00021766,True,
cnl00019723,True,
cnl00017169,True,
cnl00013606,True,
cnl00017013,True,
cnl00009446,True,
cnl00029960,True,
cnl00024172,True,
cnl00030898,True,
cnl00012126,True,
cnl00027549,True,
cnl00018101,True,
cnl00016124,True,
cnl00023264,True,
cnl00021727,True,
cnl00021510,True,
cnl00017393,True,
cnl00029955,True,
cnl00008908,True,
cnl00010972,True,
cnl00015631,True,
cnl00014666,True,
cnl00007755,True,
cnl00016162,True,
cnl00013842,True,
cnl00008750,True,
cnl00011584,True,
cnl00017679,True,
cnl00012314,True,
cnl00033717,True,
cnl00035070,True,
cnl00029580,True,
cnl00013572,True,
cnl00014245,True,
cnl00001837,True,
cnl00017211,True,
cnl00027477,True,
cnl00021964,True,
cnl00017443,True,
cnl00019496,True,
cnl00006118,True,
cnl00017171,True,
cnl00003359,True,
cnl00016071,True,
cnl00010881,True,
cnl00016027,True,
cnl00006183,True,
cnl00007867,True,
cnl00015114,True,
cnl00011312,True,
cnl00008610,True,
cnl00025807,True,
cnl00025808,True,
cnl00018545,True,
cnl00013317,True,
cnl00025767,True,
cnl00012053,True,
cnl00027003,True,
cnl00017832,True,
cnl00031341,True,
cnl00022700,True,
cnl00026571,True,
cnl00046198,True,
cnl00008235,True,
cnl00016173,True,
cnl00016011,True,
cnl00006879,True,
cnl00027853,True,
cnl00011733,True,
cnl00033431,True,
cnl00009564,True,
cnl00029316,True,
cnl00021220,True,
cnl00017201,True,
cnl00016426,True,
cnl00006192,True,
cnl00045417,True,
cnl00009829,True,
cnl00020299,True,
cnl00015993,True,
cnl00007098,True,
cnl00014348,True,
cnl00016020,True,
cnl00017410,True,
cnl00009840,True,
cnl00026842,True,
cnl00026984,True,
cnl00028500,True,
cnl00033433,True,
cnl00009238,True,
cnl00010910,True,
cnl00032123,True,
cnl00006798,True,
cnl00033432,True,
cnl00021555,True,
cnl00007124,True,
cnl00033435,True,
cnl00033434,True,
cnl00009216,True,
cnl00006955,True,
cnl00014842,True,
cnl00000348,True,
cnl00007893,True,
cnl00033436,True,
cnl00007666,True,
cnl00010890,True,
cnl00043588,True,
cnl00027623,True,
cnl00015987,True,
cnl00016345,True,
cnl00014251,True,
cnl00033607,True,
cnl00029615,True,
cnl00033304,True,
cnl00016131,True,
cnl00012075,True,
cnl00033440,True,
cnl00015995,True,
cnl00016398,True,
cnl00000220,True,
cnl00023805,True,
cnl00012513,True,
cnl00015727,True,
cnl00006781,True,
cnl00012971,True,
cnl00006306,True,
cnl00033441,True,
cnl00022752,True,
